"_id","text","tweet_id","created_at","user_location","user_name","retweets","search_term"
"ObjectId(""5e436afa452fef139aa2fae8"")","""Essais prometteurs. chez la Souris. d'un #vaccin contre le Syndrome Respiratoire  du Moyen-Orient (#virus #MERS-CoV… https://t.co/zXCxhwx56o""","1208013289902477312","Fri Dec 20 13:16:26 +0000 2019","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436afa452fef139aa2faea"")","'Syndrome respiratoire du Moyen-Orient (#MERS) en Arabie saoudite                   #Coronavirus \nhttps://t.co/o8COn2BdNZ'","1207364318209171460","Wed Dec 18 18:17:39 +0000 2019","France","Azeria64Azeria","","#coronavirus"
"ObjectId(""5e436afa452fef139aa2faec"")","'🦠A database of geopositioned Middle East Respiratory Syndrome #Coronavirus #MERSCoV occurrences\n♾… https://t.co/YjgCPIIuU0'","1207238508731150336","Wed Dec 18 09:57:44 +0000 2019","Roma","zangaridelbalzo","","#coronavirus"
"ObjectId(""5e436afa452fef139aa2faf7"")","'Released @EMDB_EMPIAR &amp; @PDBeurope, &amp; published @NatureSMB, the 2.5 Å #cryoEM structure of the Middle East Respirat… https://t.co/4F38EVc3lk'","1206990662656299010","Tue Dec 17 17:32:53 +0000 2019","Cambridge, England","EMDB_EMPIAR","","#coronavirus"
"ObjectId(""5e436afa452fef139aa2fafa"")","'New in @TheLancetPlanet&gt; Enzootic patterns of Middle East respiratory syndrome #coronavirus in imported African and… https://t.co/KnHR7FDDYC'","1206491324389756928","Mon Dec 16 08:28:41 +0000 2019","London, UK","onisillos","","#coronavirus"
"ObjectId(""5e436b3b452fef139aa2fb02"")","'My surprise when I discovered that two roman characters from the asterix and obelix comics are called #Bacillus and… https://t.co/sn4ppklocX'","1209148016722169856","Mon Dec 23 16:25:26 +0000 2019","Lyon, France","macerwan","","#coronavirus"
"ObjectId(""5e436b7f452fef139aa2fb04"")","""Simply...si no és #coronavirus, NO hi ha #SARS. Aniria bé, però, saber QUIN és l'agent causal de pneumonia severa v… https://t.co/eeOfYiZv9G""","1212330167269515264","Wed Jan 01 11:10:10 +0000 2020","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436b7f452fef139aa2fb06"")","'És improbable, però no impossible. Un altre salt dsd compartiment animal cap a humans. #coronavirus #zoonosi #OneHealth'","1212065704012324867","Tue Dec 31 17:39:17 +0000 2019","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436b7f452fef139aa2fb07"")","'Bufff, una patologia molt semblant a la que causà el #SARS fa 15 anys... Si al final es confirma retorn de #SARS, e… https://t.co/bvydYVq0Bf'","1212064931669069825","Tue Dec 31 17:36:13 +0000 2019","BCN-Catalunya","XavierAbadMdG","","#coronavirus"
"ObjectId(""5e436b7f452fef139aa2fb08"")","'#influenza (seasonal, avian) &amp; common respiratory viruses ruled out? Upper/lower respiratory samples tested? Also b… https://t.co/TWJN8PSUxA'","1212011599541743617","Tue Dec 31 14:04:18 +0000 2019","Genf, Schweiz","EckerleIsabella","","#coronavirus"
